"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Toward IoT and Data Analytics for The Chicken Welfare using RFID Technology","G. Sriharee; P. Khongban; K. Wongpipan","Department of Computer and Information Science, Faculty of Applied Science, King Mongkut’s University of Technology, North Bangkok, Thailand; Department of Computer and Information Science, Faculty of Applied Science, King Mongkut’s University of Technology, North Bangkok, Thailand; Department of Computer and Information Science, Faculty of Applied Science, King Mongkut’s University of Technology, North Bangkok, Thailand","2022 19th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","16 Jun 2022","2022","","","1","4","This research proposed the application of IoT and data analytics for monitoring the chicken welfare on the poultry farm. The need of using RFID technology to manage the poultry farm was analyzed and reported in this work. The software application and architecture for the poultry farm management were designed, and it included a mobile application and a web application. The selection of IoT devices and some equipment to support the health monitoring of the chicken were investigated for the experiment. The feasibility study of applying the RFID technology for food intake monitoring was studied, and the prior result of data analytics was discussed. With the provided software application, RFID technology is a promising technology for enhancing animal welfare.","","978-1-6654-8584-5","10.1109/ECTI-CON54298.2022.9795547","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795547","RFID;IoT;poultry farm;animal welfare","Data analysis;Computer architecture;Software;Telecommunications;Service-oriented architecture;Mobile applications;Internet of Things","","2","","16","IEEE","16 Jun 2022","","","IEEE","IEEE Conferences"
"A Novel and Smart IoT System for Real Time Agriculture Applications with IaaS Cloud Computing","L. N. Thalluri; J. Prasad Ayodhya; T. B. Anjaneya Prasad; C. Y. Raju; S. Vadlamudi; P. B. Babu","Dept. of ECE, ALIET, India; Dept. of ECE, ALIET, India; Dept. of ECE, ALIET, India; Dept. of ECE, ALIET, India; Dept. of ECE, ALIET, India; Dept. of ECE, ALIET, India",2020 International Conference on Computer Communication and Informatics (ICCCI),"1 Jun 2020","2020","","","1","6","In this paper, we have designed an IoT system for real time agriculture application with IaaS cloud architecture. Overall system design involves, preparation of six Wi-Fi enabled sensor nodes, design of server with In this agriculture sector, to improve the database including dedicated IP, for visualization we have designed an application with data processing ability, finally all section’s are interfaced to create eventual agriculture IoT system. In the first phase, we have designed six Wi-Fi enabled sensor node’s each node is connected with five sensor’s i.e., temperature, humidity, pH, pressure and flow sensors. Each sensor is connected to ARM11 processor with 1GHz clock speed. In second phase, created server with predefined database. Database is generalized as a organizing the collection of data. This database which is created, only authorized persons are allowed to access the database. Database can be created by using the MySQL which is an oracle backed open source relational database The database management system(RDBMS). Database is mainly used for storing the corresponding output values which are obtained from the sensors and analyze the data for day by day. Server is a networked computer that can be run a database. Here the sever is a web server which is allocated with public IP (i.e., internet protocol) which website can host. IP is mainly two types public IP and private IP, here we are using public IP which can be accessed over the internet. Public IP is generally having unique address that can be allocated to a computing device. Web application is designed by using HTML (hypertext markup language) programming for creating web pages with text, images. PHP (hypertext preprocessor) it will be embedded in a HTML code and it can supported in a webserver. Here, using protocols are HTTP(hypertext transfer protocol) protocol it provides communication to the world wide web.","2329-7190","978-1-7281-4514-3","10.1109/ICCCI48352.2020.9104160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9104160","Internet of Things (IoT);sensors;communication modules;cloud computing","Temperature sensors;Cloud computing;Protocols;Databases;Humidity;Agriculture;Real-time systems;IP networks;Internet of Things;Wireless fidelity","","5","","13","IEEE","1 Jun 2020","","","IEEE","IEEE Conferences"
"Smartphone-Based Platform for Monitoring Rice Field Conditions Using IoT and Cloud Integration","E. C. Rahmadani; N. Muna; M. Z. Samsono Hadi","Department of Electrical Engineering, Politeknik Elektronika Negeri Surabaya, Surabaya, Indonesia; Department of Electrical Engineering, Politeknik Elektronika Negeri Surabaya, Surabaya, Indonesia; Department of Electrical Engineering, Politeknik Elektronika Negeri Surabaya, Surabaya, Indonesia",2025 International Electronics Symposium (IES),"24 Sep 2025","2025","","","266","271","This research proposes a smartphone-based platform for real-time monitoring of rice field conditions using integrated IoT devices with Flutter (mobile) and Laravel (web). The system collects environmental data such as soil quality, weather parameters, water conditions, and pest presence through smart sensors. The data is transmitted via the MQTT protocol to a Virtual Private Server (VPS), where it is processed by a Node.js-based service that acts as a middleware to forward the data into a MySQL database. After classification, the system provides context-aware recommendations powered by machine learning algorithms to support decision-making in the field. Performance evaluations demonstrate high stability, with smoke tests yielding response times below 100 ms, load tests ($100-150$ concurrent requests) maintaining $42-73 ~\text{ms}$, and stress tests ($700-1000$ requests) sustaining $40-104 ~\text{ms}$ without failure. Security testing using SQLMap and manual injection confirmed the system's resistance to SQL Injection attacks. These results indicate that the platform is secure, responsive, and capable of supporting precision agriculture through intelligent, datadriven recommendations.","2994-368X","979-8-3315-5415-6","10.1109/IES67184.2025.11161865","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11161865","Smart Agriculture;Flutter;Laravel;Cloud Computing;Internet of Things","Resistance;Cloud computing;Soil;SQL injection;Real-time systems;Internet of Things;Servers;Security;Stress;Testing","","","","17","IEEE","24 Sep 2025","","","IEEE","IEEE Conferences"
"A Design of Greenhouse Monitoring System Based on Low-Cost Mesh Wi-Fi Wireless Sensor Network","T. Cao Pham; H. Bich Vo; N. Quang Tran","Vietnamese German University (of Aff.), Ho Chi Minh City, Viet Nam; Vietnamese German University (of Aff.), Ho Chi Minh City, Viet Nam; Vietnamese German University (of Aff.), Ho Chi Minh City, Viet Nam","2021 IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)","14 May 2021","2021","","","1","6","Agricultural environment monitoring has become a crucial field of control and protection providing a real-time system with the physical world. This paper is proposed the design and implementation of a wireless agricultural monitoring system platform based on the Mesh Wi-Fi Networking with low-cost and resource-limited hardware-ESP8266 Platform. The system includes a root, 3 stations-repeaters, and 6 nodes, each node has three sensors to measure parameters: soil moisture and soil temperature, the environmental temperature and environmental humidity of the farm, and light intensity. The collected data are transmitted from the nodes to the root and updated on the cloud database and displayed on the dashboard. The website based on the MEAN stack will be built for the owners to track real-time information and save historical data.","","978-1-6654-4067-7","10.1109/IEMTRONICS52119.2021.9422655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9422655","Smart Agriculture;Internet of Things;Wi-Fi Mesh;MQTT;MEAN Stack;Web Application","Temperature sensors;Temperature measurement;Wireless communication;Wireless sensor networks;Soil measurements;Soil moisture;Real-time systems","","6","","28","IEEE","14 May 2021","","","IEEE","IEEE Conferences"
"Building an Interoperable IoT Ecosystem for Data-Driven Agriculture","K. Tržec; M. Kušek; I. P. Žarko","Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia",2022 International Conference on Smart Systems and Technologies (SST),"28 Nov 2022","2022","","","341","347","Climate change with its extreme weather conditions and the shift to organic farming pose new challenges for crop production in Europe. Continuous and dense monitoring of crop condition and environmental parameters in the fields using various Internet of Things (IoT) devices creates Big Data for data-driven agriculture and provides the opportunity to address the above challenges. However, it is extremely complex to develop a large-scale system that integrates a variety of heterogeneous data sources to provide farmers and agronomists with simple and usable tools, such as assessing current field conditions, estimating crop stress levels, or determining the best time to apply certain cultivation practice. One of the solutions of this problem is to design and implement an interoperable IoT ecosystem for data-driven agriculture that turns the data from multiple sources into knowledge, giving rise to valuable insights and appropriate decisions based on the analysis of sensor measurements delivered from IoT devices. The paper presents the architecture and design of an ecosystem for data-driven agriculture which includes a cloud-native and microservice-based IoT platform. The novel contribution of our proposed approach is the IoT platform with effective interoperability solutions for integrating different types of edge devices used in agricultural practices for continuous monitoring of agrometeorological and crop conditions, as well as with flexible means for integrating different analytical and data visualization services ensured by strict access control mechanisms.","","978-1-6654-8215-8","10.1109/SST55530.2022.9954641","European Union; European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9954641","smart agriculture;IoT platform;interoperability;cloud-native architecture;microservices","Soft sensors;Ecosystems;Crops;Microservice architectures;Production;Agriculture;Internet of Things","","3","","33","IEEE","28 Nov 2022","","","IEEE","IEEE Conferences"
"Development of monitoring system for smart farming using Progressive Web App","L. E. Nugroho; A. G. H. Pratama; I. W. Mustika; R. Ferdiana","Department of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia",2017 9th International Conference on Information Technology and Electrical Engineering (ICITEE),"11 Jan 2018","2017","","","1","5","Indonesia is one of countries well-known as the biggest palm oil producers in the world. In 2015, this country succeeded to produce 32.5 million tons of palm oil, and used 26.4 million of it to export to other countries. The quality of Indonesia's palm oil production has become the reason why Indonesia becomes the famous exporter in a global market. For this reason, many Indonesian palm oil companies are trying to improve their quality through smart farming. One of the ways to improve is by using technology such as Internet of Things (IoT). In order to have the actual and real-time condition of the land, using the IoT concept by connecting some sensors. A previous research has accomplished to create some Application Programming Interfaces (API), which can be used to support the use of technology. However, these APIs have not been integrated to a User Interface (UI), as it can only be used by developers or programmers. These APIs have not been able to be used as a monitoring information system for palm oil plantation, which can be understood by the employees. Based on those problems, this research attempts to develop a monitoring information system, which will be integrated with the APIs from the previous research by using the Progressive Web App (PWA) approach. So, this monitoring information system can be accessed by the employees, either by using smartphone or by using desktop. Even, it can work similar with a native application.","","978-1-5090-6477-9","10.1109/ICITEED.2017.8250513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250513","monitoring system;smart farming;palm oil;progressive web app","Oils;Monitoring;Information systems;Sensors;Production;User interfaces;Geographic information systems","","10","","10","IEEE","11 Jan 2018","","","IEEE","IEEE Conferences"
"IoT and Machine Learning Based Affordable Smart Farming","P. G. Thirumagal; A. H. Abdulwahid; A. HadiAbdulwahid; D. Kholiya; R. Rajan; M. Gupta","School of Management Studies, VISTAS, Chennai, Tamil Nadu, India; Department of Horticulture, College of Agricultural, University of Basrah, Iraq; Control and Automation Engineering Department, Engineering Technical College, Southern Technical University, Basra, Iraq; School of Agriculture, Graphic Era Hill University, Dehradun, Uttarakhand, India; School of Commerce Studies, JAIN (Deemed-To-Be University), Bangalore; Chitkara Business School, Chitkara University, Punjab, India",2023 Eighth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),"7 Jun 2023","2023","","","1","6","An breakthrough technology called the Internet of Things (IoT) provides workable and dependable solutions for the modernization of a few locations. Systems based on the Internet of Things are being created to monitor and maintain horticulture farms with the least amount of human intervention. The proposed model is a framework for a smart water system that predicts how much water will be needed for a harvest using machine learning analysis. The three most crucial factors to consider when estimating how much water will be present in a given farming area are wetness, temperature, and moistness. Agriculture is one of the most important factors in the economic development of any country. In many non-industrialized nations, horticulture plays a significant and critical role in the development of their economies. India, one of the world's top producers of vast quantities of various harvests, genuinely employs conventional agricultural methods. Ranchers must increasingly produce more food of the highest quality while simultaneously coping with challenges associated to climate change adaptation. IoT-based and machine learning-based smart horticulture would help ranchers by continuously monitoring their crops and providing advice on harvesting and composting. This study's major objective is to provide a Smart Agribusiness framework based on the Internet of Things (IoT) that would help ranchers by providing recommendations based on a variety of variables, such as temperature, pH, wetness, and precipitation.","","979-8-3503-4779-1","10.1109/ICONSTEM56934.2023.10142329","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142329","IOT;Machine Learning;Affordable;Smart Farming","Smart agriculture;Economics;Temperature sensors;Temperature measurement;Horticulture;Rural areas;Machine learning;Climate change","","3","","22","IEEE","7 Jun 2023","","","IEEE","IEEE Conferences"
"Design and Development of IoT based System for Retrieval of Agrometeorological Parameters","A. R. Jangam; K. V. Kale; S. Gaikwad; A. D. Vibhute","Dept. of CS & IT, Dr. B. A. M. University, Aurangabad, India; Dept. of CS & IT, Dr. B. A. M. University, Aurangabad, India; Dept. of CS & IT, Dr. B. A. M. University, Aurangabad, India; Dept. of CS & IT, Dr. B. A. M. University, Aurangabad, India","2018 International Conference on Recent Innovations in Electrical, Electronics & Communication Engineering (ICRIEECE)","28 Feb 2020","2018","","","804","809","The Internet of Things (IoT) has the ability to transform agriculture industry. Smart farming based on IoT technologies will help farmers to increase yields and better crop management. The objective of this research is to design and develop a near real-time web-based weather and soil monitoring system capable of increasing the crop yield with the help of study of different weather and soil parameter values. This implementation resulted in a monitoring system that can collect the current air temperature, humidity, dew point, heat index, air pressure, rain intensity, soil moisture and soil temperature. The system provides current updates of soil and weather parameters as well as historical values of those parameters. The result obtained in this research is used for computing heat index and monitoring environmental effect on crops. This study demonstrates the ability of data acquisition in the near real-time and remote location accurately and efficiently.","","978-1-5386-5995-3","10.1109/ICRIEECE44171.2018.9008636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9008636","Internet of Things;weather monitoring system;soil;NodeMCU;DHT11;BMP180;DS18B20","Temperature sensors;Agriculture;Soil;Monitoring;Humidity","","6","","31","IEEE","28 Feb 2020","","","IEEE","IEEE Conferences"
"Smart Irrigation System Using LoRaWAN","M. Kurdi","Faculty of Engineering and Information Technology, City University, Tripoli, Lebanon",2023 International Conference on Information Technology (ICIT),"29 Aug 2023","2023","","","108","113","Sensors and smart devices make Internet of Things a hot issue nowadays. This paper will analyze how to reduce resource usage and boost agricultural farm production. Agriculture is the foundation of many countries, hence study in this field was considered. Farming information helps farmers plan harvesting, irrigation, and fertilization. Using new technology like the Internet of Things to farming processes can increase yield and cost efficiency. IoT will boost agricultural and manufacturing production by automating tasks. This study used IoT to create an ideal intelligent watering system that allows decision-making, remote monitoring, wireless operation, and voice control to address issues related to an elderly population and rural labor shortages.","2831-3399","979-8-3503-2006-0","10.1109/ICIT58056.2023.10225899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10225899","Smart Farming;Internet of Things;Cloud Computing;Smart Agriculture","Smart agriculture;Irrigation;Cloud computing;Wireless sensor networks;Costs;Crops;Production","","2","","24","IEEE","29 Aug 2023","","","IEEE","IEEE Conferences"
"An Internet of Things System for Environmental Monitoring Based on ESP32 and Blynk","D. Babić; I. Jovović; T. Popović; N. Kovač; S. Čakić","Faculty for Information Systems and Technologies, University of Donja Gorica, Podgorica, Montenegro; Faculty for Information Systems and Technologies, University of Donja Gorica, Podgorica, Montenegro; Faculty for Information Systems and Technologies, University of Donja Gorica, Podgorica, Montenegro; Faculty of Applied Sciences, University of Donja Gorica, Podgorica, Montenegro; Faculty for Information Systems and Technologies, University of Donja Gorica, Podgorica, Montenegro",2022 26th International Conference on Information Technology (IT),"30 Mar 2022","2022","","","1","5","This study goes through basic principles of environmental monitoring in order to propose a simple real-time environmental monitoring based on the Internet of Things technology. The proposed solution utilizes inexpensive and widely available hardware and software components making it suitable for both personal and commercial use. The hardware of the sensor node is based on an ESP32 microcontroller equipped with sensors for environmental monitoring. The data is collected and integrated using Blynk's cloud-based web application as a backbone of the developed system. Blynk cloud platform provide features for storing, managing, and visualizing data received from monitoring device. The proposed system keeps track of air temperature, humidity, air pressure and dust-like particles concentration in the air. The system is characterized by low cost and low energy consumption. The sensor node has been installed and tested alongside a commercial system for ecological monitoring at the university building.","","978-1-6654-2127-0","10.1109/IT54280.2022.9743538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9743538","environmental monitoring;Internet of Things;Cloud platform;sensor nodes","Temperature sensors;Cloud computing;Power supplies;Microcontrollers;Hardware;Agriculture;Batteries","","9","","21","IEEE","30 Mar 2022","","","IEEE","IEEE Conferences"
"Development of Hydroponic IoT-based Monitoring System and Automatic Nutrition Control using KNN","M. C. Albert; H. Hans; H. Karteja; M. H. Widianto","Computer Science Department, Bandung Campus, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bandung Campus, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bandung Campus, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bandung Campus, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia","2023 International Conference on Computer Science, Information Technology and Engineering (ICCoSITE)","23 May 2023","2023","","","974","979","Hydroponic farming is limited by inefficient monitoring and maintenance, which can affect plant growth and yield. This paper proposes using IoT technology, specifically a combination of STM32 microcontroller and sensors with 4G connection to cloud, to automate the monitoring and maintenance of hydroponic plants. The system monitors water and air temperature, pH, and TDS, and controls the hydroponics by adding nutrient in the form of AB mix. An automatic decision maker is built using KNN with an accuracy of 92.86% based on Euclidean distance algorithm. This technology could optimize the growth of hydroponic plants, as it provides continuous monitoring and maintenance.","","979-8-3503-2095-4","10.1109/ICCoSITE57641.2023.10127765","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127765","hydroponic;internet of things;monitoring;automation","Temperature sensors;Temperature measurement;Hydroponics;Maintenance engineering;Sensor systems;Sensors;Temperature control","","5","","20","IEEE","23 May 2023","","","IEEE","IEEE Conferences"
"Big Data Storage and Analysis for Smart Farming","F. Nolack Fote; S. Mahmoudi; A. Roukh; S. Ahmed Mahmoudi","Faculty of Engineering - ILIA / Infortech, University of Mons, Belgium; Faculty of Engineering - ILIA / Infortech, University of Mons, Belgium; Faculty of Engineering - ILIA / Infortech, University of Mons, Belgium; Faculty of Engineering - ILIA / Infortech, University of Mons, Belgium",2020 5th International Conference on Cloud Computing and Artificial Intelligence: Technologies and Applications (CloudTech),"2 Mar 2021","2020","","","1","8","Smart Farming has always been referred to as agriculture, but nowadays, that is no longer the case. Today, Smart farming is made up of Precision Agriculture (PA) and Precision Livestock Farming (PLF). Big Data technologies and algorithms can be relevant for managing and monitoring data related to any farm. Precision livestock farming concerns genetics, animal welfare, animal nutrition, reproduction, species protection and animal health. This paper presents a general overview of Big Data tools that can be applied in a smart farming application. New Technologies are offering many tools used to facilitate the management of data collection, risk minimization, climate change anticipation, secure storage and analysis, etc. The main purpose of Big Data tools is to increase productions in order to offer higher quantities while ensuring higher quality products. However, they remain some issues that need to be accomplished.","","978-1-7281-6175-4","10.1109/CloudTech49835.2020.9365869","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9365869","Smart Farming;Big Data;Precision Agriculture;Precision Livestock Farming","Animals;Climate change;Big Data;Reliability;Expert systems;Monitoring;Digital agriculture;Precision engineering","","9","","39","IEEE","2 Mar 2021","","","IEEE","IEEE Conferences"
"Smart Agriculture System: IoT-Based Crop Health Monitoring and Analysis","D. S. Babu; S. T. S. Balaji; A. Sirisha","Computer Science and Engineering, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India; Computer Science and Engineering, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India; Computer Science and Engineering, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India",2025 5th International Conference on Intelligent Technologies (CONIT),"24 Sep 2025","2025","","","1","6","This study presents the design and implementation of a cost-effective Smart Agriculture System leveraging Internet of Things (IoT) and cloud technologies to enhance crop monitoring and resource management. Traditional farming methods, often reliant on manual observation, lack real-time feedback, leading to inefficient irrigation and suboptimal yields. Our system addresses these limitations by utilizing an ESP32 microcontroller integrated with three sensors — DHT11 for temperature and humidity, a soil moisture sensor, and a light sensor.Sensor data is wirelessly transmitted to a Firebase Realtime Database and visualized through the web application Smart Sensy. The app offers dynamic graphs, historical data tracking, and realtime alerts when environmental conditions exceed predefined thresholds. This intuitive platform empowers farmers to make informed decisions, optimize irrigation schedules, and prevent crop stress.Experimental results highlight the system’s accuracy in data collection and minimal latency in wireless transmission. Compared to existing solutions, our approach reduces manual intervention, enhances data accessibility, and provides a scalable solution for precision farming. Future work will explore AI integration for predictive analytics and expand sensor support to include pH and CO2 sensors.By combining IoT, cloud computing, and data visualization, the Smart Agriculture System offers a practical solution for modernizing agriculture, fostering sustainable and efficient farming practices.","","979-8-3315-2233-9","10.1109/CONIT65521.2025.11166831","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166831","Smart Agriculture;Internet of Things (IoT);ESP32;Firebase;Precision Farming;Real-time Monitoring;Data Visualization","Smart agriculture;Temperature sensors;Data visualization;Crops;Manuals;Real-time systems;Internet of Things;Intelligent sensors;Monitoring;Farming","","","","15","IEEE","24 Sep 2025","","","IEEE","IEEE Conferences"
"The Design and Implementation of Smart Agricultural Management Platform Based on UAV and Wireless Sensor Network","A. Rao; H. Shao; X. Yang","Jiangsu Key Laboratory of Wireless Communications, Nanjing University of Posts and Telecommunications Engineering Research Center of Health Service System Based on Ubiquitous Wireless Networks, Nanjing University of Posts and Telecommunications, Ministry of Education, China, Nanjing, China; Jiangsu Key Laboratory of Wireless Communications, Nanjing University of Posts and Telecommunications Engineering Research Center of Health Service System Based on Ubiquitous Wireless Networks, Nanjing University of Posts and Telecommunications, Ministry of Education, China, Nanjing, China; Jiangsu Key Laboratory of Wireless Communications, Nanjing University of Posts and Telecommunications Engineering Research Center of Health Service System Based on Ubiquitous Wireless Networks, Nanjing University of Posts and Telecommunications, Ministry of Education, China, Nanjing, China",2019 IEEE 2nd International Conference on Electronics Technology (ICET),"19 Sep 2019","2019","","","248","252","Traditional agricultural monitoring systems generally use static sinks to collect data that are often accompanied with some problems such as high construction costs, low precision, poor maintainability and so on. In this paper, we design and implement a smart agricultural management platform that can be divided into three layers: perception layer, network layer and application layer. In perception layer, a large number of ZigBee sensor nodes (SNs) are deployed to build ZigBee networks. In network layer, a mobile sink (MS) that consists of a gateway carried by an unmanned aerial vehicle (UAV) is used to gather data from the perception layer and send it to application layer. Besides, we deploy a full-featured web application in application layer to provide various kinds of services for users. The advice module of the web application is designed to provide users with countermeasures that ensure humidity and temperature are within the ideal range for plant growth. The experimental results show that an MS can gather data from a large number of lands in a short time, with excellent scalability and stable operability. These advantages allow the platform to apply very well to certain areas of particular terrain and it also alleviate the “energy hole” problem in the wireless sensor networks that use static sinks.","","978-1-7281-1618-1","10.1109/ELTECH.2019.8839480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8839480","intelligent monitoring;wireless sensor network;UAV;mobile sink","Wireless sensor networks;Sensors;Servers;Unmanned aerial vehicles;Zigbee;Humidity;Production","","10","","14","IEEE","19 Sep 2019","","","IEEE","IEEE Conferences"
"Sustainable Farming Through IOT-Enhanced Weather Monitoring","P. A. A; R. S; T. S. Vathar; T. S; C. H","Electronics And Communication Engineering, Vemana Institute of Technology, Banglore, India; Electronics And Communication Engineering, Vemana Institute of Technology, Banglore, India; Electronics And Communication Engineering, Vemana Institute of Technology, Banglore, India; Electronics And Communication Engineering, Vemana Institute of Technology, Banglore, India; Electronics And Communication Engineering, Vemana Institute of Technology, Banglore, India","2024 IEEE International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)","22 Aug 2024","2024","","","1","5","The limited availability of clean water worldwide has created a need for its efficient use. IoT systems use application-specific sensors to collect data and analyse it intelligently, connecting the cyber and bodily realms. Smart irrigation systems based on IoT may optimise water-resource use in precision agriculture. This study introduces an open-source smart system that utilises ground parameters such as temperature of soil, soil moisture and ambient factors, in combination with weather prediction data from the Internet, to estimate the irrigation needs of a field. The system's intelligence relies on a sophisticated algorithm that takes into account sensory data and weather prediction characteristics such as precipitation, humidity, air temperature and UV levels for the next period. The system has been created and implemented on a small scale for testing purposes. Sensor data is collected wirelessly through the cloud using web services. A web-based system for information visualisation and decision support offers real-time insights by analysing sensor data and weather forecasts. The article outlines the system and provides a detailed analysis of the information processing outcomes from three weeks of data using the suggested algorithm. The system is operating at full capacity and the prediction outcomes are really promising.","","979-8-3503-8269-3","10.1109/ICITEICS61368.2024.10625117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10625117","Smart Farming;IOT;precision Farming;Agriculture","Temperature sensors;Irrigation;Cloud computing;Rain;Accuracy;Atmospheric modeling;Transfer learning","","","","10","IEEE","22 Aug 2024","","","IEEE","IEEE Conferences"
"Cropsight: Enhanced Crop Prediction using IoT and Machine Learning","S. Allirani; D. B. Kingsy Shekena; S. Priyadharshini; V. Varshini","Dept. of Electrical and Electronics Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Dept. of Electrical and Electronics Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Dept. of Electrical and Electronics Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Dept. of Electrical and Electronics Engineering, Sri Ramakrishna Engineering College, Coimbatore, India",2025 6th International Conference on Electronics and Sustainable Communication Systems (ICESC),"30 Oct 2025","2025","","","1173","1178","As agriculture moves into a technology-driven era, the relevance and popularity of smart farming solutions is increasing rapidly. In today’s agricultural landscape, where farmers are faced with unreliable weather and soil conditions, traditional methods are often ineffective for successful crops and farms, therefore, crop selection becomes inefficient, leading to lower yields and waste of inputs. This paper presents Cropsight, an IoT-based crop recommendation machine learning system. The system uses sensors to measure soil nutrients - Nitrogen, Phosphorus, and Potassium (NPK), and measures pH, temperature, humidity, and moisture. These values are evaluated using the K-Nearest Neighbor (KNN) algorithm to predict the best crops for the present growing conditions. Using a web-based dashboard with React.js, it provides a means to monitor the soil parameters and crop recommendations in real time. With this methodology, Cropsight optimizes farm input outputs, enables data-driven decision making, and helps generate higher yields and sustain more sustainable farming practices.","2996-5357","979-8-3315-5503-0","10.1109/ICESC65114.2025.11212456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11212456","IoT(Internet of Things);Machine Learning;Precision Agriculture;Crop Recommendation;Smart Dashboard","Temperature measurement;Temperature sensors;Smart agriculture;Soil measurements;Humidity measurement;Crops;Machine learning;Soil;Nearest neighbor methods;Sensors","","","","10","IEEE","30 Oct 2025","","","IEEE","IEEE Conferences"
"Smart Agriculture using IoT & Filtering Technology","S. Konakalla; L. V. Kunchala; S. S. Yellampalli","Electronics and communication eng, SRM University AP, Amaravati, Andhra Pradesh, India; Electronics and communication eng, SRM University AP, Amaravati, Andhra Pradesh, India; HOD- Department of Electronics and communication eng, SRM University AP, Amaravati, Andhra Pradesh, India",2021 12th International Conference on Computing Communication and Networking Technologies (ICCCNT),"3 Nov 2021","2021","","","1","5","This paper focuses on the idea of smart agriculture. The main idea of this project is to make a smart irrigation system that updates live data using Internet of Things(IoT) technology. IoT technology helps to retrieve data from the sensors such as Temperature, Humidity, Soil Moisture. All these sensor values will be accessible to the farmer through a web application. This web application helps farmers better understand the requirement of water content in the soil which will eventually help in better irrigation followed by better crop production. The web application comprises three display sections, each displaying temperature, moisture & humidity values, and a manual button has been included for scenarios when there is an abundance of water due to rainfall. In such cases, alerts will be generated and the farmer can dig a way for excess water removal. The temperature sensor values are further processed for filtering out the noise by performing the Kalman Filter technique using Processing IDE application by Arduino. After filtering the noise we get smooth values and these threshold values are passed into a decision tree algorithm which, based on its rules, decides whether the water pump should be switched on or off.","","978-1-7281-8595-8","10.1109/ICCCNT51525.2021.9579730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9579730","Kalman filtering;Precision Agriculture;Web application","Temperature sensors;Irrigation;Manuals;Humidity;Information filters;Sensor systems;Kalman filters","","2","","13","IEEE","3 Nov 2021","","","IEEE","IEEE Conferences"
