"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"IoT based smart farming system to reduce manpower, wastage of time & natural resources in both traditional & urban mega farming","M. T. Rahman; Y. Li; S. Mahmud; M. A. Rahman","College of Computer Science and Technology, Donghua University, Shanghai, China; College of Computer Science and Technology, Donghua University, Shanghai, China; School of Science and Engineering, AM’s Research Academy, Dhaka, Bangladesh; College of Computer Science and Technology, Donghua University, Shanghai, China","2021 4th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)","19 Aug 2021","2021","","","1180","1184","Water is one of the most fundamental requirements of agriculture. The lack of water due to population growth has risen in recent years. This then becomes an obstacle for everyone. The old irrigation scheme requires much water. In order to minimize the percentage of excess water available in irrigation, smart strategies are required. In any domain, from tiny and basic applications to broad and complex applications, we have seen a large market for the internet of things rise. In fact, Smart Irrigation is very complicated, but the combination of IoT with Smart wireless sensors brings with it a fantastic management framework. The sensor detects both the contents of water vapor and the temperature around the plant. If the water level dropped below the minimum demand, water sources from a water tank through a relay. The Soil Moisture Indicator tracks the ground moisture of a plant. The entire system is automated and calibrated to require a minimal amount of time and energy. A mega-farming operation can be tracked and regulated from a single position with this system.","","978-1-6654-1596-5","10.1109/AEMCSE51986.2021.00241","Donghua University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9513193","Internet of things;Smart wireless sensor;smart farming;water management;soil moisture indicator;mega farming","Wireless communication;Temperature sensors;Irrigation;Wireless sensor networks;Moisture;Storage tanks;Internet of Things","","7","","18","IEEE","19 Aug 2021","","","IEEE","IEEE Conferences"
"A Collaborative Task Modeling Approach Based on Extended GOMS","L. Liang; X. Deng","Faculty of Computer Science, Guangdong University of Technology, Guangzhou, China; College of Engineering, South China Agricultural University, Guangzhou, China",2009 International Conference on Electronic Computer Technology,"27 Feb 2009","2009","","","375","378","Usability evaluation is traditionally used in the late stage of software development process. However, to some high-cost complex distributed collaborative software, such late-usability-evaluation or single-user-oriented usability inspection are unsuitable in modern situation. The early stage of evaluation always relies on a task model (interface model) to simulate the actions of real user. However, the existing task analysis models neither provide enough support to the high-level use-context, nor address the low-level description of the basic unit of collaborative behavior (such two level factors always have great effect on the usability of collaborative software). Thus, this paper analyzed the limitation of the traditional GOMS method, and then put forward a task modeling approach based on GOMS to fit usability evaluation in collaborative environment. This approach cost less, and is easy to be applied in the early development stage to discover and modify usability problems.","","978-0-7695-3559-3","10.1109/ICECT.2009.88","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4795987","cooperative task simulation;GOMS;usability evaluation","Usability;Collaborative software;Inspection;Application software;Costs;International collaboration;Analytical models;ISO standards;Agricultural engineering;Agriculture","","","","15","IEEE","27 Feb 2009","","","IEEE","IEEE Conferences"
"Blockchain-Optimized Anomaly Detection in Internet of Things Using Black-Winged Kite Algorithm: Real-World Deployment in Smart Agriculture","S. S. Sefati; O. Fratu; S. Halunga; B. Arasteh; S. Maiduc; W. O. Larkotey","Department of Telecommunication, University Politehnica of Bucharest, Bucharest, Romania; Department of Telecommunication, University Politehnica of Bucharest, Bucharest, Romania; Department of Telecommunication, University Politehnica of Bucharest, Bucharest, Romania; Department of Software Engineering, Faculty of Engineering, Istinye University, Istanbul, Turkey; Department of Research Management, University Politehnica of Bucharest, Bucharest, Romania; Department of Computing Engineering, Valley View University, Ghana","2025 IEEE 2nd International Conference on Blockchain, Smart Healthcare and Emerging Technologies (SmartBlock4Health)","14 Oct 2025","2025","","","1","7","The integration of Internet of Things (IoT) and blockchain technologies offers a transformative approach to addressing IoT challenges such as security, scalability, and anomaly detection. This paper presents a novel framework that leverages blockchain and the Black-Winged Kite Algorithm (BKA) to enhance anomaly detection in IoT networks. The proposed method combines blockchain’s decentralized and tamper-proof data management with BKA’s optimization capabilities to refine anomaly detection thresholds and optimize node selection for validation. Experimental results in a smart agriculture IoT environment demonstrate that the framework achieves superior detection accuracy, efficient resource utilization, and reduced latency compared to existing approaches. Addressing critical challenges such as dynamic anomaly thresholding and resource-constrained device validation, this work establishes a secure, scalable, and optimized solution for IoT anomaly detection, paving the way for deployment in large-scale applications.","","979-8-3315-3541-4","10.1109/SmartBlock4Health64843.2025.11189678","European Commission; European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189678","Blockchain;Internet of Things (IoT);Anomaly Detection;Black-Winged Kite Algorithm (BKA)","Smart agriculture;Scalability;Heuristic algorithms;Medical services;Blockchains;Internet of Things;Security;Resource management;Anomaly detection;Optimization","","","","22","IEEE","14 Oct 2025","","","IEEE","IEEE Conferences"
"Towards the monitoring of water consumption of crops using digital agriculture techniques","F. Fuentes-Penailillo; S. Ortega-Farías; F. Tian; R. Pérez; V. Calderón; D. Pérez","Instituto de Investigación Interdisciplinaria (I3), Universidad de Talca, Talca, Chile Faculty of Agricultural Sciences, Research and Extension Center for Irrigation and Agroclimatology (CITRA), Universidad de Talca, Talca, Chile; Facultad de Agronomía, Centro de Investigación y transferencia en Riego y Agroclimatología (CITRA), Universidad de Talca, Casilla 747, Talca, Chile; Center for Agricultural Water Research in China, China Agricultural University, Beijing, China; Facultad de Ingenieria, Universidad de Talca, Curico, Chile; Facultad de Ingenieria, Universidad de Talca, Curico, Chile; Universidad de las Tunas, Las Tunas, Cuba",2022 IEEE International Conference on Automation/XXV Congress of the Chilean Association of Automatic Control (ICA-ACCA),"10 Jan 2023","2022","","","1","5","The population growth and climatic factors negatively impact the current scenario of reduced water availability. In particular, agriculture has become one of the most severely affected economic areas since it uses a significant amount of freshwater. Therefore, it has become necessary to implement strategies to accurately determine water demand at the field level to optimize water use. To achieve this, new digital agriculture techniques based on the use of remote sensing have made it possible to obtain spatially distributed information that, in combination with biomathematical modeling, would allow the spatial and temporal determination of the water consumption of crops. Therefore, this research proposes the development of a Web Platform (Millimetric) capable of processing and interacting with maps based on geospatial information and meteorological data to determine the crop water consumption based on the original formulation of the METRIC model. In a complementary way, Black box and usability tests were carried out on users to validate the usability of the system. The results showed that the platform allowed to obtain information consistent with the literature. However, the errors in the estimates indicated the need to carry out calibrations and validations of the METRIC sub-models associated with the land’s topography, crop type, and meteorology of the place to obtain more precise results. Finally, regarding usability, users reported that the front-end configuration allowed a simple and effective use of the information.","","978-1-6654-9408-3","10.1109/ICA-ACCA56767.2022.10006133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10006133","Water consumption;Digital agriculture;Web platform","Smart agriculture;Measurement;Sociology;Crops;Surfaces;Usability;Statistics","","2","","15","IEEE","10 Jan 2023","","","IEEE","IEEE Conferences"
"Smart Farming Technology Review: Keynote Address","H. Yeo","Sunchon National University, Korea","2022 IEEE/ACIS 20th International Conference on Software Engineering Research, Management and Applications (SERA)","30 Jun 2022","2022","","","2","2","Smart Farming is a concept of farming management using modern technology to increase the quantity and quality of agricultural products, which is a new trend in Agriculture Technology. Like many other industries, technology is changing the ways that farmers manage their operations. New developments in machinery, software, and genetics are allowing farmers to have more control over how they plant and manage their crops. Smart Farming Technology has played a big role in developing the agricultural industry. In this keynote, overall Smart Farming Technology is briefly introduced, and several examples of Smart Farm will be presented. Finally, standard activity about Smart Farming Technology is introduced.","2770-8209","978-1-6654-8350-6","10.1109/SERA54885.2022.9806473","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9806473","","Digital agriculture;Standards;Farming;Software engineering;Software;Smart agriculture;Market research","","2","","","IEEE","30 Jun 2022","","","IEEE","IEEE Conferences"
"Traceability and Identity Protection in Smart Agricultural IoT System Framework Based on Blockchains","M. Xie; J. Liu; S. Chen; M. Lin; G. Xu; Z. Xu; Z. Chang","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Software Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China; College of Computer and Cyber Security, Fujian Normal University, Fuzhou, China; Cyberspace Institute of Advanced Technology, Guangzhou University, Guangzhou, China; Business School, Sichuan University, Chengdu, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China",IEEE Transactions on Dependable and Secure Computing,"3 Sep 2025","2025","22","5","5335","5351","Blockchain-based IoT applications in agriculture have drawn extensive attention in recent years, allowing the implementation of smart agriculture solutions. By transmitting collected relevant data to a control center through the blockchain, corresponding regulation can be realized in agricultural production management systems. However, existing efforts for directly adopting the technique to data transmission are obstructed by several issues. The traceability of agricultural data stored in the blockchain leads to the exposure of the identity of the data collecting devices. And the tracing difficulty of completely invisible data for identity protection also exists in the smart agricultural system. To tackle these limitations, we propose a novel blockchain-based smart agricultural IoT system framework for regulating the agricultural production environment through trusted data. First, the elliptic curve integrated encryption scheme (ECIES) and the group signature scheme are integrated to guarantee the traceability and identity protection of the data and equipment, respectively. Then, to enhance the security of session key transmission in the ECIES scheme, we further design an on-chain-off-chain key agreement protocol (ECIES-OOKA). In addition, we propose a novel group manager selection method based on probabilistic linguistic term sets (PLTSs) for the group signature implementation. Finally, a practical example is provided to demonstrate the group manager selection process and verify the feasibility of the proposed method. The security and performance analysis for the system framework are also presented.","1941-0018","","10.1109/TDSC.2025.3565593","National Natural Science Foundation of China(grant numbers:62307008); Chongqing Research Program of Basic Research and Frontier Technology(grant numbers:cstc2021jcyj-msxmX0530); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10979808","Blockchain;probabilistic linguistic term sets;group signature;agricultural IoT","Blockchains;Encryption;Cryptography;Agriculture Internet of Things;Security;Protection;Data privacy;Data communication;Elliptic curve cryptography;Privacy","","3","","68","IEEE","29 Apr 2025","","","IEEE","IEEE Journals"
"Database System for Royal Thai Orchid Plantation in Chiang Mai Province","P. Ratnapinda; W. Sarachai; P. Khumwichai","Information Technology Division, Faculty of Science, Maejo University, Chiang Mai, Thailand; Information Technology Division, Faculty of Science, Maejo University, Chiang Mai, Thailand; Information Technology Division, Faculty of Science, Maejo University, Chiang Mai, Thailand",2020 17th International Joint Conference on Computer Science and Software Engineering (JCSSE),"30 Nov 2020","2020","","","160","164","An orchid plantation under the Plant Genetic Conservation Project under the royal initiation of Her Royal Highness Princess Maha Chakri Sirindhorn (RSPG) is located in Mae Rim district, Chiang Mai. The plantation hosts a wide variety of rare Thai orchids which are growth densely on the branch of the trees. Hence, it is very difficult to identify their species, locate a specific orchid, and manage orchid data. The staffs were using handwritten papers to tag an orchid. Thus, this approach had several disadvantages and limitations: vulnerability, difficult to read, and hostile to the orchid plants. We have developed an orchid database system for the plantation. The system consists of three components. First, we installed the Internet of Things weather station which are used for collecting environmental data such as temperature, humidity and wind data. Second, we developed a hand held tool for tagging using RFID technology and a Raspberry Pi board. We put hundreds of RFID tags on the branches of the trees. Third, we created an internal website to manage orchid database for the staffs. We evaluated our system by conducting the user satisfactory questionnaire with the stakeholder. The overall system received the score of 4.08 out of 5.","2642-6579","978-1-7281-6167-9","10.1109/JCSSE49651.2020.9268363","Maejo University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9268363","Database;Orchids;Internet of Things;Radio Frequency Identification","RFID tags;Meteorology;Vegetation;Sensors;Tagging;Internet of Things;Wireless sensor networks","","1","","11","IEEE","30 Nov 2020","","","IEEE","IEEE Conferences"
"Digital agriculture for urban crops: design of an IoT platform for monitoring variables","J. P. Tovar-Soto; M. O. González; J. A. S. Sánchez","San Buenaventura University, Bogotá, Colombia and member of the Research Group GIA of Universidad Pedagógica y Tecnológica de Colombia, Tunja–Boyacá, Colombia; Software Development Technology, San Buenaventura University, Bogotá, Colombia; Software Development Technology, San Buenaventura University, Bogotá, Colombia",2022 IEEE International Conference on Automation/XXV Congress of the Chilean Association of Automatic Control (ICA-ACCA),"10 Jan 2023","2022","","","1","6","This article presents the design of the hardware and software architecture of a monitoring system for some agroclimatic variables (light radiation and humidity of soil) through a set of technologies based on the Internet of Things (IoT). First, the state of the art is show for identify the more relevant research in the application of the digital agriculture concept. Second, the general architecture of the project is presented, making a description of the hardware and software used in it. Then, the information is broken down into the layers of the architecture, such as: perception layer, network layer and application layer, and the operation of each layer is detailed. Finally, the feasibility information is presented, and some recommendations are presented on future developments and what is expected to be improved in the presented prototype.","","978-1-6654-9408-3","10.1109/ICA-ACCA56767.2022.10006036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10006036","Agriculture 4.0;Emerging Technologies;Food Sovereignty;Sustainable Development Goals","Smart agriculture;Software architecture;Prototypes;Computer architecture;Humidity;Soil;Hardware","","3","","0","IEEE","10 Jan 2023","","","IEEE","IEEE Conferences"
"Internet of Things — Propagation modelling for precision agriculture applications","J. Stewart; R. Stewart; S. Kennedy","Department of Electronics Computer and Software Engineering, The Wireless Networking Group, Athlone Institute of Technology, Athlone, County Westmeath, Ireland; Department of Electronics Computer and Software Engineering, The Wireless Networking Group, Athlone Institute of Technology, Athlone, County Westmeath, Ireland; Department of Electronics Computer and Software Engineering, The Wireless Networking Group, Athlone Institute of Technology, Athlone, County Westmeath, Ireland",2017 Wireless Telecommunications Symposium (WTS),"8 Jun 2017","2017","","","1","8","The ubiquitous deployment of IEEE 802.11 based Wireless Mesh Networks (WMNs) has facilitated non-real-time applications effectively to date. However the advancement in IEEE 802.15.4 Wireless Sensor Network (WSN) technology has dramatically increased the volume and range of applications available under the umbrella of the Internet of Things (IoTs). Such applications cross the divide of simple environmental data collectors to highly specific multimedia real-time applications demanding high Quality of Service (QoS) guarantees. However delivering QoS guarantees is difficult to achieve when deployed in a hostile environment such as that found in the Precision Agriculture (PA) industry. Difficulties in wireless propagation attenuation delivers an uncertainty to the network design phase. Therefore the motivation of this research is a requirement for real-time characterisation and derivation of suitable propagation models to support network design and deployment planning. In this work, empirical results were collected from a heterogeneous wireless deployment (the real-world ECOMESH test-bed) in a native woodland environment. We derive two empirical models which can be utilised in predicting attenuation network performance in two different scenarios. These models deliver the first phase of a Dynamic Network Management System for maintaining QoS guarantees in heterogeneous wireless networks.","","978-1-5090-3599-1","10.1109/WTS.2017.7943528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943528","Internet of Things;WSN;WMN;Propagation Modelling;Precision Agriculture","Wireless sensor networks;Biological system modeling;Vegetation mapping;Vegetation;Wireless communication;Mathematical model;Agriculture","","17","","18","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Lean Startup and Agile for Addressing Educational Challenges","Z. Yordanova","Industrial Business Department, University of national and world economy, Sofia, Bulgaria",2020 7th International Conference on Energy Efficiency and Agricultural Engineering (EE&AE),"17 Dec 2020","2020","","","1","4","The paper aims at exploring the possible knowledge transfer from the business concepts Lean Startup and Agile, usually applied for innovation, project and product management, now for addressing educational challenges as well. Educational challenges are broadly treated as social and human progress related topics rather than project or product-based initiatives. Following the concept of problem-driven innovation approach, the paper analyzes the contribution and potential benefits of applying Lean Startup and Agile for addressing and solving educational challenges on individual level. The methodology developed in the study can be used from universities and schools for identification and realization of effective educational projects, relevant to their unique internal and external environment as well as bearing in mind local and global challenges. It enables a better comprehension of some potential benefits and challenges of applying Lean startup in educational organizations for the purposes of innovation management and management in general.","","978-1-7281-0362-4","10.1109/EEAE49144.2020.9279067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9279067","Lean startup;Agile;education;innovation management","Education;Technological innovation;Business;Testing;Collaboration;Tools;Industries","","1","","32","IEEE","17 Dec 2020","","","IEEE","IEEE Conferences"
"Implementing an Efficient Architecture for Latency Optimisation in Smart Farming","N. Makondo; H. I. Kobo; T. E. Mathonsi; D. P. D. Plessis","Nextgen Enterprises and Institutions, Council for Scientific and Industrial Research, Pretoria, South Africa; Nextgen Enterprises and Institutions, Council for Scientific and Industrial Research, Pretoria, South Africa; Department of Information Technology, Tshwane University of Technology, Pretoria, South Africa; Academy of Computer Science and Software Engineering, University of Johannesburg, Johannesburg, South Africa",IEEE Access,"4 Oct 2024","2024","12","","140502","140526","In various industries, including Agriculture, the application of the Fifth Generation (5G) of wireless technology has led to significant advancement. One of the most intriguing aspects of 5G technology is the potential to reduce latency for Internet of Things (IoT) applications, especially for latency-sensitive smart farming applications such as fire detection. The data generated by IoT devices such as sensors, cameras, and actuators in intelligent farming applications are growing exponentially. Traditional methods of processing and storing IoT data usually include cloud data centres, which are often far from data sources, resulting in multiple network hops that increase latency. To this end, the existing network infrastructures struggle to cope with increasing traffic and meet the stringent low-latency requirements of various real-time environmental monitoring IoT applications. To solve this problem, Edge Computing (EC) emerged as a solution. Edge technology allows the deployment of 5G Core (5GC) network functions close to the data-generating IoT sensors. This method allows data processing to be performed near the sensor, thereby reducing latency. As a result, this paper proposed an efficient architecture to minimise latency in 5G networks by moving the User Plane Function (UPF) node to the edge of the network closer to users using the Control and User Plane Separation (CUPS) strategy. Furthermore, this paper further proposed Software-Defined Networking (SDN) based backhaul. This backhaul was configured to use the Open Network Operating System (ONOS) controller, which has been customised with a distributed core to improve throughput, latency, and scalability. Using SDN in the 5G backhaul network allows operators to create dynamic, scalable, and efficient networks capable of serving a diverse variety of services and applications with varying performance needs. The results of the experiment conducted on the Third Generation Partnership Project (3GPP) compliant 5G testbed demonstrated that the proposed architecture reduced the average Round Time Trip (RTT) by 60.7% while improving the throughput by approximately 40.48%. This significant reduction in latency and improvement in throughput paves the way for the implementation of real-world 5G applications, particularly in latency-sensitive sectors like smart agriculture. Agricultural operations will benefit from faster data processing and communication, enabling real-time monitoring, and precision irrigation, ultimately leading to increased efficiency.","2169-3536","","10.1109/ACCESS.2024.3466994","Council for Scientific and Industrial Research (CSIR) and Tshwane University of Technology (TUT); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10689585","5G;CUPS;EC;IoT;RTT;SDN","5G mobile communication;Internet of Things;Smart agriculture;Computer architecture;Cloud computing;3GPP;Wireless sensor networks","","4","","135","CCBYNCND","24 Sep 2024","","","IEEE","IEEE Journals"
"Design of a Blockchain-based Decentralized Architecture for Sustainable Agriculture : Research-in-Progress","G. K. Akella; S. Wibowo; S. Grandhi; S. Mubarak","School of Engineering and Technology, Central Queensland University, Melbourne, Australia; School of Engineering and Technology, Central Queensland University, Melbourne, Australia; School of Engineering and Technology, Central Queensland University, Melbourne, Australia; School of Information Technology and Mathematical Sciences, University of South Australia","2021 IEEE/ACIS 19th International Conference on Software Engineering Research, Management and Applications (SERA)","11 Aug 2021","2021","","","102","107","Exchange of information, financial transactions, and involvement of intermediaries play an important role in agriculture. However, current ICT-based agriculture systems are centralized and fail to address problems such as information asymmetry and reliability. Besides, consumers are keen to know the origin of food (traceability), intermediaries focus on transparency of shareable data and tracking of transactions are the areas to be studied in depth for smart and sustainable farming. Disruptive technology like blockchain is suitable to effectively manage smart farming. Blockchain promises reliability and authenticity of source of information as it can track the origin of a transaction. Several researchers have proposed conceptual frameworks and models. However, there is a limited study on real-time architecture that uses blockchain and decentralized applications to address the issues for smart farming. This research in progress paper presents the current gaps and focuses on incorporating blockchain to a smart and sustainable farming by developing an effective architecture. The research outcomes of the proposed study will benefit the agriculture value chains, intermediaries, farmers, and food suppliers in Australia.","","978-1-7281-7677-2","10.1109/SERA51205.2021.9509044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9509044","blockchain application;smart agriculture;sustainability;architecture;traceability;transparency;information asymmetry","Computer architecture;Real-time systems;Blockchains;Reliability;Australia;Disruptive technologies;Digital agriculture","","5","","15","IEEE","11 Aug 2021","","","IEEE","IEEE Conferences"
"Blockchain-Based Authentication Schemes in Smart Environments: A Systematic Literature Review","M. A. Al Sibahee; Z. A. Abduljabbar; A. Ngueilbaye; C. Luo; J. Li; Y. Huang; J. Zhang; N. Khan; V. O. Nyangaresi; A. H. Ali","National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China; Department of Computer Science, College of Education for Pure Sciences, University of Basrah, Basrah, Iraq; National Engineering Laboratory for Big Data System Computing Technology and the Big Data Institute, College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China; National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China; National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China; National Engineering Laboratory for Big Data System Computing Technology, Shenzhen University, Shenzhen, China; College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; Department of Computer Science and Software Engineering, Jaramogi Oginga Odinga University of Science and Technology, Bondo, Kenya; Department of Mathematics, College of Education for Pure Sciences, University of Basrah, Basrah, Iraq",IEEE Internet of Things Journal,"25 Oct 2024","2024","11","21","34774","34796","This study presents a systematic literature review on blockchain-based authentication in smart environments that include smart city, smart home, smart grid, smart healthcare, smart farming and smart transportation. The review incorporated 39 articles presenting blockchain solutions for security and privacy issues through authentication mechanisms in these smart environments. Guided by three research questions to determine the main issues in smart environment, the availability of blockchain-based authentication solutions and identified research gaps and future research endeavors, this review used PRISMA method to provide insights on the use of blockchain-based authentication schemes. The research gap is that blockchain solutions are mostly at the proposal, and sometimes conceptual stage is in the reviewed articles. In addition, solutions presented in smart environments require exploration into blockchain. The findings show similar situational issues across different smart environments and the flexibility and adaptability of blockchain to provide solutions to the identified issues pertaining to security and privacy. More clearly, the authentication problem posed across different smart environments can be adapted to blockchain technology provided that it is combined with other technologies to increase efficiency, despite the existence of large-scale authentication mechanisms. Now, blockchain still has the unique, distributed feature of converting the current database into blockchain databases. This review guided future research directions which could further contribute to the sustainable management of smart environments.","2327-4662","","10.1109/JIOT.2024.3422678","National Key Research and Development Program of China(grant numbers:2023YFB4704900); Deep Research Fund(grant numbers:000138010183/2024); National Natural Science Funds for Distinguished Young Scholar(grant numbers:62325307); National Natural Science Foundation of China(grant numbers:62073225,62203134,62072315); Natural Science Foundation of Guangdong Province(grant numbers:2023B1515120038); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:20220809141216003,JCYJ20210324093808021,JCYJ20220531102817040); Guangdong “Pearl River Talent Recruitment Program”(grant numbers:2019ZT08X603); Guangdong “Pearl River Talent Plan”(grant numbers:2019JC01X235); Scientific Instrument Developing Project of Shenzhen University(grant numbers:2023YQ019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10584093","Authentication;blockchain;Internet of Things (IoT);smart environment","Smart cities;Blockchains;Authentication;Security;Smart homes;Smart grids;Renewable energy sources","","18","","119","IEEE","3 Jul 2024","","","IEEE","IEEE Journals"
"Smart Agriculture: Software Platform for Telematics Monitoring in Farm Machinery","D. J. Yeong; K. Panduru; J. Walsh","STEM, IMaR Research Centre, Munster Technological University (MTU), Co. Kerry, Tralee, Ireland; STEM, IMaR Research Centre, Munster Technological University (MTU), Co. Kerry, Tralee, Ireland; STEM, IMaR Research Centre, Munster Technological University (MTU), Co. Kerry, Tralee, Ireland",2024 35th Irish Signals and Systems Conference (ISSC),"29 Jul 2024","2024","","","1","6","Agriculture 4.0, also known as Smart Farming or AgriTech 4.0, signifies a paradigm shift in agribusinesses. It represents the fourth agricultural revolution that uses state-of-the-art and innovative technologies, such as Internet of Things (IoT) and data analysis, to cultivate a sustainable, resilient, and more efficient agricultural practices that can address the ever-growing challenges of the 21st century. This paper proposes the development and implementation of a software system designed to gather, store, and monitor telematics data in farm machinery. By reviewing various software components (front-end and back-end), we aim to provide insights into the key components of the software system and outline a scalable software architecture for monitoring machine telematics in smart farm machinery. Using the proposed software system (web application), users can view historical machine telematics data and monitor the operational performances to optimize farming practices. Furthermore, our system allows real-time alerts to ensure timely intervention and offers potential for integrating predictive analytics to anticipate maintenance needs and improve operational efficiencies.","2688-1454","979-8-3503-5298-6","10.1109/ISSC61953.2024.10602840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10602840","agriculture;smart farming;telematics monitoring;software platform;front-end;back-end;progressive web app","Smart agriculture;Software architecture;Telematics;Software systems;Real-time systems;Maintenance;Internet of Things","","1","","44","IEEE","29 Jul 2024","","","IEEE","IEEE Conferences"
"Model based software component verification","L. Tang; X. Zhou; Z. Wang; Y. Fei; J. Zhang","College of computer & information engineering, Hohai University, HHU, Nanjing, China; College of computer & information engineering, Hohai University, HHU, Nanjing, China; College of computer & information engineering, Hohai University, HHU, Nanjing, China; College of information science & engineering, Shandong Agricultural University, Taian, China; College of information science & engineering, Shandong Agricultural University, Taian, China",The 2nd International Conference on Software Engineering and Data Mining,"9 Aug 2010","2010","","","11","16","Developing software components requires a high focus on software quality. A novel approach was proposed from the component producer perspective to improve it in this paper. First, atomic service, service extension and extension rule were defined respectively. Secondly, an effective component model was defined, in terms of service, to describe all services which a component can provide. Thirdly, the process of constructing a component service by atomic service extension was given and illustrated in an application sample. The concrete sample shows that this component model can provide an effective verification approach which can automatically determine whether a component service satisfies a certain user's requirement or not. And it can also help improve the usability of a software component and the efficiency of component based software development.","","978-89-88678-22-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5542959","Software component;verificaton;component model;atomic sendee;service extension;extension constraint","Usability;Testing;Software quality;Software systems;Educational institutions;Agricultural engineering;Computer industry;Application software;Programming;Software maintenance","","1","","15","","9 Aug 2010","","","IEEE","IEEE Conferences"
"IoT Based Plantation System for Smart Home Farming","V. Rai; S. Patidar","Department of Software Engineering, Delhi Technological University, Delhi; Department of Software Engineering, Delhi Technological University, Delhi","2023 International Conference on Electrical, Electronics, Communication and Computers (ELEXCOM)","1 Jan 2024","2023","","","1","5","Home smart farming is the area where Internet of things (IoT) applications are expanding. The effectiveness and quality of agricultural goods have been recommended to be increased by using various monitoring, controlling, and tracking systems. Many people would like to start their own small-scale farms at home to produce organic goods for their daily consumption, even if the majority of the existing systems concentrate on industrial farming. However, due to a lack of agricultural infrastructure and understanding, people are frequently unable to produce healthy agricultural goods and are also unable to safeguard their indoor plants from too much and too little sunshine. The IoT-based plantation system described in this research attempts to maximize plant growth while shielding plants from excessive or insufficient sunlight. The system uses sensors to assess important environmental variables such as light intensity, and temperature, integrating IoT technology with agriculture. The gathered data is processed, examined, and sent to a cloud server for archival and examination. Real-time data visualization, notifications, and user interaction are made possible through a user-friendly mobile application. The main focus is on protecting plants by keeping an eye on light levels to prevent harmful consequences of excessive or insufficient sunshine exposure. The system uses the IoT infrastructure to assure ideal circumstances for plant growth as well as remote monitoring and control, which results in effective resource management.","","979-8-3503-0511-1","10.1109/ELEXCOM58812.2023.10370530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10370530","Internet of Things (IoT);Plantation System;Smart Home Farming;Light Intensity Monitoring;Plant Growth Optimization;Sunlight Protection","Temperature sensors;Temperature measurement;Smart agriculture;Smart homes;Sensor systems;Sensors;Internet of Things","","1","","15","IEEE","1 Jan 2024","","","IEEE","IEEE Conferences"
